DOCUMENTO 1
   Término   TF         IDF        TF-IDF     Índice
      that   1.000000   0.602060   0.602060   29
     latch   1.000000   1.301030   1.301030   30
      onto   1.000000   1.301030   1.301030   31
       the   3.000000   0.000000   0.000000   32
 oakdriven   1.000000   1.301030   1.301030   33
    finish   1.000000   0.602060   0.602060   34
        An   1.000000   1.301030   1.301030   35
 eccentric   1.000000   1.301030   1.301030   36
     blend   1.000000   0.778151   0.778151   37
        of   2.000000   0.000000   0.000000   38
       50%   1.000000   1.301030   1.301030   39
    Tannat   1.000000   1.301030   1.301030   40
       35%   1.000000   1.301030   1.301030   41
     Petit   1.000000   1.301030   1.301030   42
    Verdot   1.000000   1.301030   1.301030   43
       and   3.000000   0.000000   0.000000   44
       15%   1.000000   1.301030   1.301030   45
  Pinotage   1.000000   1.301030   1.301030   46

DOCUMENTO 17
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
     Spicy   1.000000   1.301030   1.301030   0
     fresh   1.000000   1.301030   1.301030   1
       and   1.000000   0.000000   0.000000   2
     clean   1.000000   0.778151   0.778151   3
      this   1.000000   0.000000   0.000000   4
     would   1.000000   1.000000   1.000000   5
      pair   1.000000   1.000000   1.000000   6
      with   1.000000   0.000000   0.000000   7
     fried   1.000000   1.301030   1.301030   8
   seafood   1.000000   1.301030   1.301030   9
        or   1.000000   0.778151   0.778151   10
 spaghetti   1.000000   1.301030   1.301030   11
       con   1.000000   1.301030   1.301030   12
   vongole   1.000000   1.301030   1.301030   13
        It   1.000000   1.000000   1.000000   14
    offers   1.000000   1.000000   1.000000   15
    pretty   1.000000   1.301030   1.301030   16
    citrus   1.000000   0.778151   0.778151   17
     tones   1.000000   1.301030   1.301030   18
  followed   1.000000   1.301030   1.301030   19
        by   1.000000   0.698970   0.698970   20
         a   1.000000   0.000000   0.000000   21
    drying   1.000000   1.000000   1.000000   22
   mineral   1.000000   1.000000   1.000000   23
    nuance   1.000000   1.301030   1.301030   24

DOCUMENTO 18
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
      This   1.000000   0.477121   0.477121   0
        is   1.000000   0.000000   0.000000   1
         a   1.000000   0.000000   0.000000   2
     sweet   1.000000   0.698970   0.698970   3
      wine   1.000000   0.000000   0.000000   4
      with   1.000000   0.000000   0.000000   5
   flavors   1.000000   0.301030   0.301030   6
        of   1.000000   0.000000   0.000000   7
     white   1.000000   1.000000   1.000000   8
     sugar   1.000000   1.301030   1.301030   9
    orange   1.000000   1.000000   1.000000   10
     honey   1.000000   0.778151   0.778151   11
       and   1.000000   0.000000   0.000000   12
   vanilla   1.000000   1.000000   1.000000   13
       all   1.000000   1.301030   1.301030   14
brightened   1.000000   1.301030   1.301030   15
        by   1.000000   0.698970   0.698970   16
     crisp   1.000000   1.301030   1.301030   17
   acidity   1.000000   0.778151   0.778151   18

DOCUMENTO 19
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
      This   1.000000   0.477121   0.477121   0
  bottling   1.000000   1.301030   1.301030   1
 resembles   1.000000   1.301030   1.301030   2
       the   2.000000   0.000000   0.000000   3
       New   1.000000   1.000000   1.000000   4
   Zealand   1.000000   1.000000   1.000000   5
  paradigm   1.000000   1.301030   1.301030   6
        of   4.000000   0.000000   0.000000   7
 Sauvignon   1.000000   0.698970   0.698970   8
     Blanc   1.000000   0.778151   0.778151   9
   bearing   1.000000   1.301030   1.301030   10
    aromas   1.000000   0.602060   0.602060   11
        of   4.000000   0.000000   0.000000   12
grapefruit   1.000000   1.000000   1.000000   13
   passion   1.000000   1.301030   1.301030   14
     fruit   1.000000   0.301030   0.301030   15
       and   1.000000   0.000000   0.000000   16
     kiwi;   1.000000   1.301030   1.301030   17
         a   2.000000   0.000000   0.000000   18
sprinkling   1.000000   1.301030   1.301030   19
        of   4.000000   0.000000   0.000000   20
    graham   1.000000   1.301030   1.301030   21
   cracker   1.000000   1.301030   1.301030   22
      adds   1.000000   1.301030   1.301030   23
  interest   1.000000   1.301030   1.301030   24
       The   1.000000   0.301030   0.301030   25
      wine   1.000000   0.000000   0.000000   26
      hits   1.000000   1.301030   1.301030   27
       the   2.000000   0.000000   0.000000   28
    palate   1.000000   0.602060   0.602060   29
      like   1.000000   1.301030   1.301030   30
         a   2.000000   0.000000   0.000000   31
    fleshy   1.000000   1.301030   1.301030   32
      fist   1.000000   1.301030   1.301030   33
      with   2.000000   0.000000   0.000000   34
        an   1.000000   0.778151   0.778151   35
   intense   1.000000   1.301030   1.301030   36
    grassy   1.000000   1.301030   1.301030   37
gooseberry   1.000000   1.000000   1.000000   38
    flavor   1.000000   0.602060   0.602060   39
      that   1.000000   0.602060   0.602060   40
  provides   1.000000   1.301030   1.301030   41
    plenty   1.000000   1.301030   1.301030   42
        of   4.000000   0.000000   0.000000   43
     punch   1.000000   1.301030   1.301030   44
      Pair   1.000000   1.000000   1.000000   45
      with   2.000000   0.000000   0.000000   46
apricotglazed   1.000000   1.301030   1.301030   47
   roasted   1.000000   1.301030   1.301030   48
   chicken   1.000000   1.301030   1.301030   49

DOCUMENTO 20
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
      Soft   1.000000   1.301030   1.301030   0
       and   2.000000   0.000000   0.000000   1
    fruity   1.000000   1.301030   1.301030   2
      this   2.000000   0.000000   0.000000   3
        is   1.000000   0.000000   0.000000   4
         a   2.000000   0.000000   0.000000   5
  generous   1.000000   1.301030   1.301030   6
      ripe   1.000000   0.698970   0.698970   7
      wine   2.000000   0.000000   0.000000   8
    that's   1.000000   1.301030   1.301030   9
      full   1.000000   1.301030   1.301030   10
        of   1.000000   0.000000   0.000000   11
     juicy   1.000000   0.778151   0.778151   12
 redcherry   1.000000   1.301030   1.301030   13
    fruits   1.000000   1.301030   1.301030   14
       and   2.000000   0.000000   0.000000   15
    gentle   1.000000   1.301030   1.301030   16
   tannins   1.000000   0.698970   0.698970   17
        It   1.000000   1.000000   1.000000   18
       has   1.000000   0.698970   0.698970   19
      some   1.000000   1.301030   1.301030   20
